site,date,time,datetime,water_temp_C,air_temp_C,fecal_coliform_cfu_100mL,enterococcus_mpn_100mL,pH,turbidity_NTU,conductivity_mS_cm,wind_velocity_kph,tide_range_m,weather_code_wmo4501,wind_direction_deg
North Kenai Beach site 4,2014-07-20,11:14:00,2014-07-20T11:14:00Z,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-23,02:04:00,2014-07-23T14:04:00Z,14.48,NA,NA,NA,NA,118.2,33054,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-23,02:05:00,2014-07-23T14:05:00Z,NA,NA,84,20,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-27,06:37:00,2014-07-27T06:37:00Z,13.24,NA,NA,NA,NA,66.2,20712,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-27,06:38:00,2014-07-27T06:38:00Z,NA,NA,270,540,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-27,06:38:00,2014-07-27T06:38:00Z,NA,NA,220,430,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-27,06:44:00,2014-07-27T06:44:00Z,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-29,07:24:00,2014-07-29T07:24:00Z,13.69,NA,NA,NA,NA,82.3,32265,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-29,07:27:00,2014-07-29T07:27:00Z,NA,NA,100,150,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-07-29,07:38:00,2014-07-29T07:38:00Z,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2014-08-06,11:31:00,2014-08-06T11:31:00Z,14.99,NA,NA,NA,NA,379.9,30631,NA,NA,NA,NA
North Kenai Beach site 4,2014-08-06,11:33:00,2014-08-06T11:33:00Z,NA,NA,17,10,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-03,08:23:00,2018-07-03T08:23:00Z,11.8,15,88,11,NA,NA,NA,11.265408,5.486400000000001,0,NA
North Kenai Beach site 4,2018-07-13,07:46:00,2018-07-13T07:46:00Z,11.9,9.444444444444445,42,21,NA,NA,NA,8.04672,5.1816,1,NA
North Kenai Beach site 4,2018-07-13,07:46:00,2018-07-13T07:46:00Z,11.9,9.444444444444445,36,38,NA,NA,NA,8.04672,5.1816,1,NA
North Kenai Beach site 4,2018-07-18,07:55:00,2018-07-18T07:55:00Z,NA,8.88888888888889,NA,5,NA,NA,NA,3.218688,4.8768,0,NA
North Kenai Beach site 4,2018-07-25,09:03:00,2018-07-25T09:03:00Z,NA,NA,138,34,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-25,10:05:00,2018-07-25T10:05:00Z,12.3,NA,96,69,NA,NA,NA,22.530816,0.45720000000000005,2,NA
North Kenai Beach site 4,2018-07-25,11:15:00,2018-07-25T11:15:00Z,12.5,15,148,84,NA,NA,NA,22.530816,0.9144000000000001,5,NA
North Kenai Beach site 4,2018-07-25,12:01:00,2018-07-25T12:01:00Z,NA,NA,113,59,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-25,01:01:00,2018-07-25T13:01:00Z,12.8,15.555555555555555,40,140,NA,NA,NA,24.14016,2.4384,5,NA
North Kenai Beach site 4,2018-07-25,01:01:00,2018-07-25T13:01:00Z,12.8,15.555555555555555,134,72,NA,NA,NA,24.14016,2.4384,5,NA
North Kenai Beach site 4,2018-07-25,02:00:00,2018-07-25T14:00:00Z,NA,NA,34,55,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-25,03:00:00,2018-07-25T15:00:00Z,13.5,15.555555555555555,18,27,NA,NA,NA,24.14016,3.3528000000000002,5,NA
North Kenai Beach site 4,2018-07-25,04:00:00,2018-07-25T16:00:00Z,13.5,15.555555555555555,260,12,NA,NA,NA,12.874752,4.2672,5,NA
North Kenai Beach site 4,2018-07-25,05:00:00,2018-07-25T17:00:00Z,13.6,15.555555555555555,179,238,NA,NA,NA,7.140000000000001,4.8768,5,NA
North Kenai Beach site 4,2018-07-25,06:00:00,2018-07-25T18:00:00Z,NA,NA,143,66,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-25,07:00:00,2018-07-25T19:00:00Z,NA,NA,290,157,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-25,08:00:00,2018-07-25T20:00:00Z,NA,NA,166,109,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-25,09:00:00,2018-07-25T21:00:00Z,NA,NA,112,86,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-25,09:00:00,2018-07-25T21:00:00Z,NA,NA,116,88,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-25,10:00:00,2018-07-25T22:00:00Z,NA,NA,64,153,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-25,11:00:00,2018-07-25T23:00:00Z,NA,NA,84,36,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,12:00:00,2018-07-26T00:00:00Z,NA,NA,143,122,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,01:00:00,2018-07-26T01:00:00Z,NA,NA,62,108,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,02:00:00,2018-07-26T02:00:00Z,NA,NA,10,22,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,03:00:00,2018-07-26T03:00:00Z,NA,NA,2,9,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,04:00:00,2018-07-26T04:00:00Z,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,05:00:00,2018-07-26T05:00:00Z,NA,NA,185,187,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,05:00:00,2018-07-26T05:00:00Z,NA,NA,237,93,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,06:00:00,2018-07-26T06:00:00Z,NA,NA,119,78,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,07:00:00,2018-07-26T07:00:00Z,NA,NA,99,128,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-07-26,08:00:00,2018-07-26T08:00:00Z,NA,NA,260,172,NA,NA,NA,NA,NA,NA,NA
North Kenai Beach site 4,2018-08-02,08:45:00,2018-08-02T08:45:00Z,13.1,11.666666666666666,56,75,NA,NA,NA,0,5.1816,6,NA
North Kenai Beach site 4,2018-08-10,06:05:00,2018-08-10T06:05:00Z,13.3,5,54,73,NA,NA,NA,11.265408,5.486400000000001,4,NA
North Kenai Beach site 4,2018-08-10,06:05:00,2018-08-10T06:05:00Z,13.3,5,27,67,NA,NA,NA,11.265408,5.486400000000001,4,NA
North Kenai Beach site 4,2018-08-15,09:00:00,2018-08-15T09:00:00Z,12.1,8.333333333333334,8,61,NA,NA,NA,0,5.486400000000001,0,NA
North Kenai Beach site 4,2018-08-24,09:00:00,2018-08-24T09:00:00Z,11,13.333333333333332,86,44,NA,NA,NA,16.09344,1.524,1,NA
North Kenai Beach site 4,2018-08-24,09:00:00,2018-08-24T09:00:00Z,11,13.333333333333332,58,24,NA,NA,NA,16.09344,1.524,1,NA
North Kenai Beach site 4,2018-08-29,09:35:00,2018-08-29T09:35:00Z,NA,7.222222222222222,25,29,NA,NA,NA,4.828032,3.6576000000000004,0,NA
North Kenai Beach site 4,2018-09-07,08:05:00,2018-09-07T08:05:00Z,12,11.11111111111111,40,21,NA,NA,NA,4.828032,1.524,1,NA
North Kenai Beach site 4,2019-05-21,06:46:00,2019-05-21T06:46:00Z,8.4,6.666666666666666,1,1,NA,NA,NA,19.312128,5.638800000000001,1,180
North Kenai Beach site 4,2019-05-29,04:44:00,2019-05-29T04:44:00Z,8.9,6.111111111111111,35,6,NA,NA,NA,4.828032,2.923032,1,45
North Kenai Beach site 4,2019-05-29,04:44:00,2019-05-29T04:44:00Z,8.9,6.111111111111111,25,5,NA,NA,NA,4.828032,2.923032,1,45
North Kenai Beach site 4,2019-06-04,06:39:00,2019-06-04T06:39:00Z,10.3,9.444444444444445,102,139,NA,NA,NA,14.484096000000001,5.315712,1,180
North Kenai Beach site 4,2019-06-11,11:18:00,2019-06-11T11:18:00Z,12.3,15.555555555555555,2,1,NA,NA,NA,14.484096000000001,4.858512,0,135
North Kenai Beach site 4,2019-06-18,08:05:00,2019-06-18T08:05:00Z,11.6,10.555555555555555,41,36,NA,NA,NA,20.921472,5.2486559999999995,1,180
North Kenai Beach site 4,2019-06-25,09:50:00,2019-06-25T09:50:00Z,13.8,11.11111111111111,50,14,NA,NA,NA,20.921472,3.462528,4,225
North Kenai Beach site 4,2019-06-25,09:50:00,2019-06-25T09:50:00Z,13.8,11.11111111111111,44,15,NA,NA,NA,20.921472,3.462528,4,225
North Kenai Beach site 4,2019-07-02,06:24:00,2019-07-02T06:24:00Z,14.6,11.666666666666666,57,46,NA,NA,NA,4.828032,4.788408,4,45
North Kenai Beach site 4,2019-07-09,09:22:00,2019-07-09T09:22:00Z,16,16.666666666666668,5,2,NA,NA,NA,11.265408,5.556504,1,180
North Kenai Beach site 4,2019-07-09,09:22:00,2019-07-09T09:22:00Z,16,16.666666666666668,7,3,NA,NA,NA,11.265408,5.556504,1,180
North Kenai Beach site 4,2019-07-17,07:10:00,2019-07-17T07:10:00Z,13.8,11.11111111111111,346,365,NA,NA,NA,4.828032,4.968240000000001,0,225
North Kenai Beach site 4,2019-07-23,09:35:00,2019-07-23T09:35:00Z,15.3,15,82,43,NA,NA,NA,20.921472,4.25196,1,225
North Kenai Beach site 4,2019-07-23,09:35:00,2019-07-23T09:35:00Z,15.3,15,83,72,NA,NA,NA,20.921472,4.25196,1,225
North Kenai Beach site 4,2019-08-01,07:40:00,2019-08-01T07:40:00Z,14.7,12.222222222222221,158,291,NA,NA,NA,9.656064,5.614416000000001,1,135
North Kenai Beach site 4,2019-08-06,08:45:00,2019-08-06T08:45:00Z,15.9,17.22222222222222,2,59,NA,NA,NA,19.312128,6.702552,0,180
North Kenai Beach site 4,2019-08-06,08:45:00,2019-08-06T08:45:00Z,15.9,17.22222222222222,2,27,NA,NA,NA,19.312128,6.702552,0,180
North Kenai Beach site 4,2019-08-20,08:42:00,2019-08-20T08:42:00Z,NA,NA,39,16,NA,NA,NA,NA,5.443728,NA,NA
North Kenai Beach site 4,2019-09-04,09:35:00,2019-09-04T09:35:00Z,13.4,NA,2,18,NA,NA,NA,NA,7.296912000000001,4,NA
North Kenai Beach site 4,2019-09-04,09:35:00,2019-09-04T09:35:00Z,13.4,NA,2,20,NA,NA,NA,NA,7.296912000000001,4,NA
North Kenai Beach site 4,2014-07-23,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
