site,date,time,datetime,water_temp_C,air_temp_C,fecal_coliform_cfu_100mL,enterococcus_mpn_100mL,pH,turbidity_NTU,conductivity_mS_cm,wind_velocity_kph,tide_range_m,weather_code_wmo4501,wind_direction_deg
South Kenai River Beach 3,2018-07-25,11:00:00,2018-07-25T23:00:00Z,13.3,NA,290,133,NA,NA,NA,4.828032,5.486400000000001,2,NA
South Kenai River Beach 3,2018-07-26,12:00:00,2018-07-26T00:00:00Z,13.4,13.333333333333332,380,228,NA,NA,NA,3.218688,3.5052000000000003,2,NA
South Kenai River Beach 3,2018-07-26,01:00:00,2018-07-26T01:00:00Z,13.1,13.333333333333332,270,326,NA,NA,NA,4.828032,4.2672,2,NA
South Kenai River Beach 3,2018-07-26,02:00:00,2018-07-26T02:00:00Z,NA,NA,22,35,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,03:00:00,2018-07-26T03:00:00Z,NA,NA,23,24,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,04:00:00,2018-07-26T04:00:00Z,NA,NA,158,308,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,05:00:00,2018-07-26T05:00:00Z,NA,NA,300,167,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,05:00:00,2018-07-26T05:00:00Z,NA,NA,202,148,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,06:00:00,2018-07-26T06:00:00Z,NA,NA,330,276,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,07:00:00,2018-07-26T07:00:00Z,NA,NA,320,344,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-07-26,08:00:00,2018-07-26T08:00:00Z,NA,NA,310,248,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2018-08-02,07:45:00,2018-08-02T07:45:00Z,13.7,11.666666666666666,32,82,NA,NA,NA,4.828032,5.3340000000000005,6,NA
South Kenai River Beach 3,2018-08-02,07:45:00,2018-08-02T07:45:00Z,13.7,11.666666666666666,22,130,NA,NA,NA,4.828032,5.3340000000000005,6,NA
South Kenai River Beach 3,2018-08-10,05:22:00,2018-08-10T05:22:00Z,13.6,6.111111111111111,820,816,NA,NA,NA,0,6.096,0,NA
South Kenai River Beach 3,2018-08-15,08:10:00,2018-08-15T08:10:00Z,12.2,6.666666666666666,12,39,NA,NA,NA,1.609344,6.4008,0,NA
South Kenai River Beach 3,2018-08-15,08:10:00,2018-08-15T08:10:00Z,12.2,6.666666666666666,32,55,NA,NA,NA,1.609344,6.4008,0,NA
South Kenai River Beach 3,2018-08-24,08:30:00,2018-08-24T08:30:00Z,11,12.777777777777777,280,173,NA,NA,NA,8.04672,1.8288000000000002,0,NA
South Kenai River Beach 3,2018-08-29,08:45:00,2018-08-29T08:45:00Z,11.6,3.888888888888889,37,81,NA,NA,NA,4.828032,4.2672,0,NA
South Kenai River Beach 3,2018-08-29,08:45:00,2018-08-29T08:45:00Z,11.6,3.888888888888889,48,84,NA,NA,NA,4.828032,4.2672,0,NA
South Kenai River Beach 3,2018-09-07,07:10:00,2018-09-07T07:10:00Z,12,11.11111111111111,52,41,NA,NA,NA,4.828032,2.1336,1,NA
South Kenai River Beach 3,2018-09-07,07:10:00,2018-09-07T07:10:00Z,12,11.11111111111111,58,45,NA,NA,NA,4.828032,2.1336,1,NA
South Kenai River Beach 3,2019-05-21,07:28:00,2019-05-21T07:28:00Z,8.3,7.222222222222222,5,4,NA,NA,NA,22.530816,5.638800000000001,1,225
South Kenai River Beach 3,2019-05-21,07:28:00,2019-05-21T07:28:00Z,8.3,7.222222222222222,8,5,NA,NA,NA,22.530816,5.638800000000001,1,225
South Kenai River Beach 3,2019-05-29,05:38:00,2019-05-29T05:38:00Z,9.2,7.222222222222222,25,6,NA,NA,NA,4.828032,2.923032,1,45
South Kenai River Beach 3,2019-06-04,07:12:00,2019-06-04T07:12:00Z,10.3,9.444444444444445,6,10,NA,NA,NA,14.484096000000001,5.315712,1,180
South Kenai River Beach 3,2019-06-04,07:12:00,2019-06-04T07:12:00Z,10.3,9.444444444444445,9,2,NA,NA,NA,14.484096000000001,5.315712,1,180
South Kenai River Beach 3,2019-06-11,10:46:00,2019-06-11T10:46:00Z,13.1,15,5,7,NA,NA,NA,17.702784,NA,0,135
South Kenai River Beach 3,2019-06-11,10:46:00,2019-06-11T10:46:00Z,13.1,15,5,7,NA,NA,NA,4.858512,NA,0,135
South Kenai River Beach 3,2019-06-18,08:40:00,2019-06-18T08:40:00Z,11.6,11.666666666666666,76,36,NA,NA,NA,22.530816,5.2486559999999995,1,180
South Kenai River Beach 3,2019-06-18,08:40:00,2019-06-18T08:40:00Z,11.6,11.666666666666666,84,50,NA,NA,NA,22.530816,5.2486559999999995,1,180
South Kenai River Beach 3,2019-06-25,09:05:00,2019-06-25T09:05:00Z,14.8,10.555555555555555,26,71,NA,NA,NA,19.312128,3.462528,4,135
South Kenai River Beach 3,2019-07-02,05:43:00,2019-07-02T05:43:00Z,NA,11.11111111111111,NA,NA,NA,NA,NA,4.828032,4.788408,1,45
South Kenai River Beach 3,2019-07-02,05:45:00,2019-07-02T05:45:00Z,15,NA,93,411,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2019-07-02,05:45:00,2019-07-02T05:45:00Z,15,NA,141,231,NA,NA,NA,NA,NA,NA,NA
South Kenai River Beach 3,2019-07-09,08:45:00,2019-07-09T08:45:00Z,16.1,16.11111111111111,90,23,NA,NA,NA,11.265408,5.556504,1,225
South Kenai River Beach 3,2019-07-17,07:45:00,2019-07-17T07:45:00Z,13.9,11.11111111111111,400,387,NA,NA,NA,4.828032,4.968240000000001,0,225
South Kenai River Beach 3,2019-07-17,07:45:00,2019-07-17T07:45:00Z,13.9,11.11111111111111,380,727,NA,NA,NA,4.828032,4.968240000000001,0,225
South Kenai River Beach 3,2019-07-23,10:10:00,2019-07-23T10:10:00Z,15.7,14.444444444444445,80,23,NA,NA,NA,19.312128,4.25196,0,225
South Kenai River Beach 3,2019-08-01,08:17:00,2019-08-01T08:17:00Z,14.6,12.222222222222221,382,243,NA,NA,NA,9.656064,5.614416000000001,1,135
South Kenai River Beach 3,2019-08-01,08:17:00,2019-08-01T08:17:00Z,14.6,12.222222222222221,324,249,NA,NA,NA,9.656064,5.614416000000001,1,135
South Kenai River Beach 3,2019-08-06,09:10:00,2019-08-06T09:10:00Z,16.1,18.333333333333332,7,155,NA,NA,NA,16.09344,6.702552,0,180
South Kenai River Beach 3,2019-08-20,08:13:00,2019-08-20T08:13:00Z,14.1,6.111111111111111,60,152,NA,NA,NA,0,5.443728,4,270
South Kenai River Beach 3,2019-08-20,08:13:00,2019-08-20T08:13:00Z,14.1,6.111111111111111,76,285,NA,NA,NA,0,5.443728,4,270
South Kenai River Beach 3,2019-09-04,08:49:00,2019-09-04T08:49:00Z,13.1,11.666666666666666,4,28,NA,NA,NA,11.265408,7.296912000000001,4,180
South Kenai River Beach 3,2014-07-13,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
